"name","lat","lon"
"Lightning Bolt Field Airport","44.4011001587","-72.26360321039999"
"Field of Dreams Airport","46.0228004456","-92.895401001"
"Ox Meadows Airport","47.5817985535","-117.43699646"
"Dutch Gap Airstrip","42.523399353","-88.0167007446"
"Stillwater Creek Airport","46.963889","-119.641667"
"Pecan Field","33.283933","-98.402861"
"Wasilla Creek Airpark","61.66830063","-149.1880035"
"Ozark Skies Airpark","36.000633","-93.57025"
"Pope Valley Airport","38.6106987","-122.39099884"
"Rancho De Aereo Airport","40.2149839","-104.9844228"
"Melanie's Airport","30.918899536132812","-86.21829986572266"
"Charlton Strip","26.523099899291992","-81.4083023071289"
"Raju Airport","32.0713996887207","-84.71440124511719"
"Spotts Field","43.13750076293945","-93.06829833984375"
"Running Creek Ranch Airport","45.914101","-114.835999"
"Reichhart Airport","41.02870178222656","-84.99720001220703"
"Classic Landings Airport","41.156700134277344","-88.0167007446289"
"Cooper Airport","39.641998291015625","-86.50420379638672"
"Hardy Airport","39.72589874267578","-89.26399993896484"
"Darbro Field","37.26620101928711","-95.95919799804688"
"Cartersville Airport","37.53689957","-84.40720367"
"Greg's Flying Service Airport","32.26530075073242","-91.69779968261719"
"Grass Roots Airport","31.252199172973633","-92.47579956054688"
"Breezecroft Airport","39.250099182128906","-76.2052001953125"
"Drisko Airport","44.65700149536133","-67.55919647216797"
"Jones Landing","45.815368","-111.152163"
"Mc Kay Airport","41.7221984863","-98.3089981079"
"Baker Ranches Airport","39.0311","-114.088219"
"Dorlon Airpark","41.28839874267578","-81.96260070800781"
"Peacock Ranch Airport","45.44150161743164","-117.35099792480469"
"Mills Brothers Airport","40.142799377441406","-77.86190032958984"
"Vernonia Airfield","45.85150146484375","-123.24199676513672"
"Brandes Air Field","29.809099197387695","-96.26509857177734"
"Hilde-Griff Field","30.72209930419922","-97.79139709472656"
"Dew Drop Airport","33.12929916381836","-97.35859680175781"
"Circle 'A' Ranch Airport","32.12919998168945","-97.4041976928711"
"Oljato Airport","37.03329849243164","-110.31700134277344"
"Blanca Airport","37.41109848022461","-105.552001953125"
"Providence Airport","37.22420120239258","-78.4186019897461"
"Ames Private Airport","42.651100158691406","-88.74590301513672"
"Flat Creek Field","48.702222","-118.0475"
"Johnson Memorial Airport","33.07929992675781","-91.54319763183594"
"Henning Municipal Airport","46.30379867553711","-95.43949890136719"
"June Lake Airpark","61.627619","-149.575331"
"Bondair Airport","35.544498443603516","-92.18489837646484"
"Jecan Airport","37.38750076293945","-103.69100189208984"
"William P Gwinn Airport","26.90839958190918","-80.32890319824219"
"Grass Roots Airpark","28.641700744628906","-81.88500213623047"
"Rich Field","41.841400146484375","-91.83429718017578"
"Larkin Airport","43.46269989013672","-116.35900115966797"
"Humm Airport","41.5994987487793","-88.86990356445312"
"Sinele Strip","40.5463981628418","-91.27429962158203"
"Pike Field Airport","47.6519012451","-92.41670227050001"
"Noahs Ark Airport","39.23059844970703","-94.80439758300781"
"Torgerson Airport","48.55830001831055","-112.10900115966797"
"Randall Airport","41.43199920654297","-74.3916015625"
"Tailwinds Airport","34.82749938964844","-78.9302978515625"
"Fitterer's Strip","46.7489013671875","-101.66899871826172"
"Cole Farm Airport","42.92839813232422","-70.97309875488281"
"Silver Creek Airport","39.098333","-114.150277"
"Murphy Field","42.84280014038086","-76.44529724121094"
"Hal Joy Airfield","41.50979995727539","-80.59120178222656"
"Green Acres Airport","39.734798431396484","-84.3822021484375"
"Hayden Mountain Airport","45.4650993347168","-123.08000183105469"
"Freefall Oz Airport","41.995792","-78.288152"
"Grawunder Field","29.9419002532959","-96.24610137939453"
"Beyer Farm Airport","37.583900451660156","-97.25309753417969"
"Glaser Field","30.90850067138672","-97.11689758300781"
"Ainsworth Airport","30.312700271606445","-95.02690124511719"
"Hunter STOLport","35.69729995727539","-86.95690155029297"
"Diamond N Ranch Airport","30.057600021362305","-95.81289672851562"
"Mount Horeb Field","38.249000549316406","-78.85530090332031"
"Young Private Airport","45.66270065307617","-92.45020294189453"
"Western Airpark","46.92499923706055","-122.5530014038086"
"Campbell Field","33.32469940185547","-97.04419708251953"
"Herman Municipal Airport","45.83000183105469","-96.16059875488281"
"Pan Lake Strip Airport","61.6959639","-149.9549028"
"Morrilton Airport","35.19449996948242","-92.80020141601562"
"Blue Hill Airport","44.448001861572266","-68.5697021484375"
"Richvale Airport","39.49769973754883","-121.77100372314453"
"Comanche Creek Airport","39.26359939575195","-104.427001953125"
"Tackaberry Airport","43.06449890136719","-82.72380065917969"
"Ocean Reef Club Airport","25.325399398804","-80.274803161621"
"Alcovy Airport","33.67499923706055","-83.76309967041016"
"Interstate Airport","42.2781982421875","-113.30500030517578"
"Gray Airport","39.573699951171875","-85.91390228271484"
"Central City Municipal - Larry Reineke Field","41.1125984192","-98.0516967773"
"Heape Field","37.73419952392578","-96.93669891357422"
"Blue Lick Airport","38.08060073852539","-85.69329833984375"
"Baugher's Orchard Airport","39.608299255371094","-77.0519027709961"
"Scott Airstrip","43.864200592041016","-85.0239028930664"
"Dairyview Airport","44.05500030517578","-95.90950012207031"
"Lake Sexton Airport","38.650001525878906","-93.61689758300781"
"Glasgow Industrial Airport","48.42110061645508","-106.52799987792969"
"Bermudian Valley Airpark","40.01679992675781","-77.00389862060547"
"Hawks Meadow Airport","34.83319854736328","-80.7511978149414"
"Border Line Farm Airport","39.102239","-114.053472"
"Pleasant Valley Airport","34.633399963378906","-99.03369903564453"
"Bruce's Airport","45.42179870605469","-122.62000274658203"
"Folmar Airport","40.998889","-78.125278"
"Churchill Airport","39.77280044555664","-99.36009979248047"
"Salaika Aviation Airport","29.240519","-95.344658"
"Cuddihy Field","27.721099853515625","-97.51280212402344"
"Corntassel Airport","35.568599700927734","-84.24109649658203"
"Cross-Country Estates Airport","30.625","-97.57279968261719"
"E Northrop Grumman Airport","41.716667","-112.447222"
"Alpha Hotel Airport","36.81959915161133","-78.78309631347656"
"Meadow STOLport","44.447200775146484","-72.91470336914062"
"Hill City-Quadna Mountain Airport","46.955501556396484","-93.5969009399414"
"Fisher Airport","61.569639","-149.724439"
"Merrymeeting Field","44","-69.88710021972656"
"Kistler Ranch Airport","37.85960006713867","-120.55400085449219"
"Terra Firma Airport","38.73249816894531","-104.04100036621094"
"City of Coalgate Airport","34.53179931640625","-96.23310089111328"
"Duda Airstrip","26.57979965209961","-81.48370361328125"
"Sunniland Ranch Airport","27.363100051879883","-80.77279663085938"
"J. H. Hendrie Farms Airport","27.08449935913086","-81.32869720458984"
"Sapelo Island Airport","31.425800323486328","-81.28589630126953"
"Symms Airport","43.56930160522461","-116.7770004272461"
"Hemmer RLA Restricted Landing Area","37.977798461899994","-89.20290374759999"
"Alderson Airport","39.034698486328125","-97.58000183105469"
"Boss Airport","36.972599029541016","-84.6260986328125"
"Sauer Airport","41.07529830932617","-88.48919677734375"
"Aeleron Airport","30.403600692749023","-92.02359771728516"
"Wormid Airport","42.29399871826172","-71.49620056152344"
"Lindbergh Airport","44.81420135498047","-70.34529876708984"
"Twin Oaks Airport","37.395599365234375","-94.28379821777344"
"Williams Field","34.66220093","-89.86830139"
"Matovich Airport","47.065679","-108.809624"
"Keller Brothers Airport","40.29180145263672","-76.32879638671875"
"Whiteheart Farm Airport","36.06760025024414","-80.4655990600586"
"Brecht Strip","47.32310104370117","-102.0979995727539"
